Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Description,RoHS Status,Lead Free Status
C1608JB0J106K080AB,TDK Corporation,445-11185-1-ND,,,Cut Tape (CT),Active,2,0.41,$0.82 ,CAP CER 10UF 6.3V JB 0603,ROHS3 Compliant,Lead free
CL05A104MP5NNNC,Samsung Electro-Mechanics,1276-1443-1-ND,,,Cut Tape (CT),Active,4,0.1,$0.40 ,CAP CER 0.1UF 10V X5R 0402,ROHS3 Compliant,Lead free
CSTNE16M0VH3C000R0,Murata Electronics,490-17951-1-ND,,,Cut Tape (CT),Active,1,0.44,$0.44 ,CERAMIC RES 16.0000MHZ 15PF SMD,ROHS3 Compliant,Contains lead
FT232RL-REEL,"FTDI, Future Technology Devices International Ltd",768-1007-1-ND,,,Cut Tape (CT),Active,1,4.5,$4.50 ,IC USB FS SERIAL UART 28-SSOP,RoHS Compliant,Lead free
ERA-2AED103X,Panasonic Electronic Components,P10KDECT-ND,,,Cut Tape (CT),Active,2,0.22,$0.44 ,RES SMD 10K OHM 0.5% 1/16W 0402,ROHS3 Compliant,Lead free
ERA-3AED102V,Panasonic Electronic Components,P123733CT-ND,,,Cut Tape (CT),Active,8,0.11,$0.88 ,RES SMD 1K OHM 0.5% 1/10W 0603,ROHS3 Compliant,Lead free
10118193-0001LF,Amphenol ICC (FCI),609-4616-1-ND,,,Cut Tape (CT),Active,1,0.43,$0.43 ,CONN RCPT USB2.0 MICRO B SMD R/A,RoHS Compliant,Lead free
ERJ-3GEYJ472V,Panasonic Electronic Components,P4.7KGCT-ND,,,Cut Tape (CT),Active,1,0.1,$0.10 ,RES SMD 4.7K OHM 5% 1/10W 0603,ROHS3 Compliant,Lead free
ATMEGA328P-AUR,Microchip Technology,ATMEGA328P-AURCT-ND,,,Cut Tape (CT),Active,1,2.08,$2.08 ,IC MCU 8BIT 32KB FLASH 32TQFP,ROHS3 Compliant,Lead free
IN-S63AT5B,Inolux,1830-1061-1-ND,,,Cut Tape (CT),Active,1,0.34,$0.34 ,LED BLUE CLEAR 0603 SMD,ROHS3 Compliant,Lead free
IN-S63AT5G,Inolux,1830-1062-1-ND,,,Cut Tape (CT),Active,2,0.52,$1.04 ,LED GREEN CLEAR 0603 SMD,ROHS3 Compliant,Lead free
IN-S63AT5Y,Inolux,1830-1066-1-ND,,,Cut Tape (CT),Active,1,0.32,$0.32 ,LED YELLOW CLEAR 0603 SMD,ROHS3 Compliant,Lead free
IN-S63ATR,Inolux,1830-1065-1-ND,,,Cut Tape (CT),Active,1,0.34,$0.34 ,LED RED CLEAR 0603 SMD,ROHS3 Compliant,Lead free
LO Q976-PS-25-0-20-R18,OSRAM Opto Semiconductors Inc.,475-2486-1-ND,,,Cut Tape (CT),Active,1,0.29,$0.29 ,LED ORANGE DIFFUSED 0603 SMD,ROHS3 Compliant,Lead free
FQP30N06L,ON Semiconductor,FQP30N06L-ND,,,Tube,Active,3,1.22,$3.66 ,MOSFET N-CH 60V 32A TO-220,ROHS3 Compliant,Lead free
